id, class, score, x, y, w, h
0, car, 0.99, 1299, 662, 325, 282
1, car, 0.99, 1462, 610, 363, 237
2, truck, 0.99, 568, 528, 197, 230
3, car, 0.98, 861, 510, 250, 218
4, bus, 0.96, 250, 63, 114, 157
5, car, 0.96, 554, 182, 114, 106
6, car, 0.95, 1765, 1029, 238, 98
7, car, 0.94, 436, 250, 122, 101
8, person, 0.93, 41, 223, 41, 84
9, car, 0.90, 621, 273, 121, 86
10, bus, 0.86, 625, 32, 108, 87
11, truck, 0.86, 1015, 430, 252, 234
12, car, 0.84, 1906, 761, 95, 154
13, car, 0.83, 518, 156, 82, 73
14, bus, 0.81, 0, 43, 56, 184
15, truck, 0.79, 698, 146, 229, 211
16, bus, 0.77, 693, 156, 243, 194
17, car, 0.77, 724, 382, 209, 158
18, car, 0.74, 340, 78, 74, 61
19, person, 0.73, 1765, 514, 70, 80
20, truck, 0.70, 724, 386, 206, 148
21, person, 0.69, 1552, 385, 49, 84
22, car, 0.68, 143, 35, 55, 43
23, car, 0.66, 1063, 748, 462, 380
24, truck, 0.62, 1075, 752, 442, 372
25, bus, 0.62, 526, 45, 131, 114
26, bus, 0.61, 590, 96, 151, 145
27, car, 0.56, 1012, 425, 263, 242
28, person, 0.54, 1205, 221, 27, 50
29, person, 0.50, 1310, 310, 30, 43
30, motorbike, 0.49, 979, 411, 63, 57
31, traffic light, 0.48, 1542, 107, 59, 70
32, traffic light, 0.46, 1851, 118, 31, 41
