id, class, score, x, y, w, h
0, car, 0.99, 575, 238, 73, 67
1, car, 0.99, 594, 196, 47, 40
2, person, 0.96, 477, 372, 36, 69
3, person, 0.96, 764, 426, 39, 127
4, person, 0.95, 207, 310, 29, 68
5, person, 0.94, 834, 362, 39, 99
6, person, 0.93, 890, 454, 46, 117
7, person, 0.92, 819, 423, 40, 114
8, car, 0.87, 476, 193, 40, 41
9, car, 0.87, 531, 200, 41, 52
10, person, 0.86, 186, 312, 22, 67
11, person, 0.84, 276, 335, 25, 64
12, car, 0.83, 387, 271, 73, 98
13, person, 0.80, 809, 309, 28, 74
14, person, 0.80, 137, 305, 26, 68
15, car, 0.78, 123, 399, 268, 138
16, truck, 0.71, 496, 163, 37, 48
17, person, 0.71, 397, 508, 45, 66
18, person, 0.70, 833, 315, 25, 62
19, car, 0.69, 611, 147, 40, 23
20, bicycle, 0.69, 486, 416, 21, 44
21, person, 0.65, 740, 356, 26, 70
22, person, 0.61, 227, 377, 24, 27
23, truck, 0.61, 123, 399, 268, 138
24, truck, 0.61, 386, 271, 74, 94
25, person, 0.58, 275, 384, 29, 24
26, person, 0.56, 297, 367, 34, 48
27, person, 0.48, 259, 390, 14, 16
28, person, 0.45, 339, 229, 14, 32
29, person, 0.45, 638, 153, 12, 34
30, person, 0.42, 269, 287, 16, 26
31, handbag, 0.42, 910, 476, 20, 42
32, person, 0.41, 189, 286, 20, 38
33, person, 0.41, 268, 304, 27, 72
34, person, 0.41, 416, 193, 15, 45
