id, class, score, x, y, w, h
0, car, 0.99, 711, 371, 248, 86
1, car, 0.98, 170, 370, 63, 30
2, person, 0.98, 60, 354, 56, 129
3, person, 0.98, 417, 359, 38, 114
4, person, 0.97, 478, 359, 47, 120
5, car, 0.93, 133, 365, 40, 31
6, person, 0.92, 523, 375, 49, 114
7, person, 0.89, 572, 358, 34, 100
8, person, 0.88, 614, 366, 31, 80
9, umbrella, 0.86, 330, 363, 67, 24
10, umbrella, 0.85, 233, 362, 30, 14
11, person, 0.85, 294, 359, 28, 83
12, backpack, 0.82, 63, 376, 24, 39
13, person, 0.81, 12, 371, 44, 103
14, person, 0.81, 324, 385, 46, 102
15, person, 0.66, 260, 361, 24, 54
16, person, 0.61, 625, 365, 33, 82
17, person, 0.55, 234, 375, 25, 46
18, person, 0.54, 694, 367, 22, 51
19, handbag, 0.53, 607, 398, 17, 17
20, person, 0.50, 751, 364, 15, 21
