id, class, score, x, y, w, h
0, car, 0.99, 1349, 507, 183, 141
1, car, 0.99, 1311, 609, 316, 291
2, car, 0.98, 1259, 896, 359, 188
3, car, 0.98, 1171, 482, 141, 126
4, car, 0.98, 1557, 649, 336, 256
5, car, 0.97, 204, 623, 282, 218
6, car, 0.96, 481, 868, 301, 214
7, car, 0.93, 1024, 373, 89, 99
8, car, 0.89, 1169, 358, 114, 96
9, car, 0.86, 942, 336, 55, 57
10, car, 0.82, 1109, 327, 70, 53
11, car, 0.79, 881, 276, 42, 40
12, person, 0.77, 317, 592, 43, 49
13, person, 0.71, 1086, 664, 69, 138
14, car, 0.70, 1016, 311, 58, 46
15, person, 0.70, 501, 796, 72, 135
16, person, 0.70, -1, 695, 56, 123
17, car, 0.68, 972, 238, 37, 32
18, car, 0.68, 873, 621, 192, 312
19, car, 0.66, 892, 391, 91, 119
20, car, 0.64, 904, 369, 81, 64
21, person, 0.59, 1242, 685, 71, 130
22, person, 0.58, 494, 625, 56, 68
23, person, 0.56, 550, 694, 72, 132
24, person, 0.56, 394, 737, 89, 136
25, car, 0.54, 937, 277, 68, 62
26, person, 0.52, 1810, 331, 51, 56
27, car, 0.52, 1321, 242, 64, 42
28, person, 0.51, 311, 838, 76, 98
29, person, 0.50, 1334, 452, 42, 74
30, person, 0.49, 316, 945, 142, 135
31, person, 0.47, 676, 736, 80, 156
32, car, 0.46, 1038, 345, 75, 56
33, person, 0.46, 1398, 463, 37, 45
34, person, 0.44, 703, 656, 68, 134
35, person, 0.41, 873, 496, 41, 47
