id, class, score, x, y, w, h
0, person, 0.77, 317, 592, 43, 49
1, person, 0.71, 1086, 664, 69, 138
2, person, 0.70, 501, 796, 72, 135
3, person, 0.70, -1, 695, 56, 123
4, person, 0.59, 1242, 685, 71, 130
5, person, 0.58, 494, 625, 56, 68
6, person, 0.56, 550, 694, 72, 132
7, person, 0.56, 394, 737, 89, 136
8, person, 0.52, 1810, 331, 51, 56
9, person, 0.51, 311, 838, 76, 98
10, person, 0.50, 1334, 452, 42, 74
11, person, 0.49, 316, 945, 142, 135
12, person, 0.47, 676, 736, 80, 156
13, person, 0.46, 1398, 463, 37, 45
14, person, 0.44, 703, 656, 68, 134
15, person, 0.41, 873, 496, 41, 47
