id, class, score, x, y, w, h
0, car, 0.98, 1566, 641, 329, 271
1, car, 0.96, 1246, 897, 392, 174
2, car, 0.93, 466, 871, 327, 206
3, car, 0.86, 1307, 610, 328, 296
4, car, 0.85, 1354, 513, 180, 120
5, motorbike, 0.84, 1086, 710, 71, 117
6, car, 0.78, 1024, 380, 87, 87
7, person, 0.75, 1244, 682, 63, 99
8, car, 0.73, 1179, 369, 98, 80
9, motorbike, 0.68, 6, 867, 189, 191
10, motorbike, 0.66, 655, 620, 66, 126
11, person, 0.65, 1087, 667, 67, 122
12, car, 0.65, 209, 629, 277, 203
13, car, 0.64, 1181, 489, 135, 118
14, truck, 0.57, 207, 622, 265, 220
15, motorbike, 0.55, 1243, 751, 78, 96
16, motorbike, 0.51, 1123, 560, 57, 111
17, person, 0.43, 500, 626, 71, 115
18, motorbike, 0.40, 316, 944, 150, 133
19, bus, 0.40, 579, 351, 159, 155
